SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,April-18-2018,Single Family Residential,12 Carter St,Newton,MA,02460,835000,3,2.5,Newtonville,1464,6750,1910,188,570,,Sold,,,http://www.redfin.com/MA/Newton/12-Carter-St-02460/home/11419068,MLS PIN,72284627,N,Y,42.351717,-71.19892
PAST SALE,August-22-2018,Single Family Residential,195 Waltham St,Newton,MA,02465,925000,4,2.5,Newton,1900,8220,1928,62,487,,Sold,,,http://www.redfin.com/MA/West-Newton/195-Waltham-St-02465/home/11433449,MLS PIN,72350560,N,Y,42.3601977,-71.2229881
PAST SALE,November-20-2017,Single Family Residential,305 Woodcliff Rd,Newton,MA,02461,920000,3,2.0,Newton,1696,7704,1955,337,542,,Sold,,,http://www.redfin.com/MA/Newton-Highlands/305-Woodcliff-Rd-02461/home/11478340,MLS PIN,72235320,N,Y,42.3127553,-71.2015004
PAST SALE,March-24-2017,Single Family Residential,73 Canterbury Rd,Newton,MA,02461,867000,3,2.5,Newton Highlands,1872,5270,1940,578,463,,Sold,,,http://www.redfin.com/MA/Newton/73-Canterbury-Rd-02461/home/11455328,MLS PIN,72124686,N,Y,42.3198254,-71.2202036
PAST SALE,August-25-2016,Single Family Residential,39 Rowena Rd,Newton,MA,02459,837500,4,2.5,Newton,2252,12864,1955,789,372,,Sold,,,http://www.redfin.com/MA/Newton-Centre/39-Rowena-Rd-02459/home/11461452,MLS PIN,72027576,N,Y,42.3230539,-71.1979616
PAST SALE,June-30-2017,Townhouse,56 Webster St #56,Newton,MA,02465,860000,4,3.5,Newton,2443,3776,1865,480,352,319,Sold,,,http://www.redfin.com/MA/Newton/56-Webster-St-02465/unit-56/home/77492250,MLS PIN,72170372,N,Y,42.3500012,-71.2288039
PAST SALE,August-2-2018,Single Family Residential,50 Elmore St,Newton,MA,02459,965000,4,2.0,Newton,2389,7733,1900,82,404,,Sold,,,http://www.redfin.com/MA/Newton-Centre/50-Elmore-St-02459/home/11413549,MLS PIN,72320522,N,Y,42.3387019,-71.1954205
PAST SALE,September-29-2017,Single Family Residential,69 Lakeview Ave,Newton,MA,02460,960000,3,2.0,Bulloughs Pond,2084,10130,1955,389,461,,Sold,,,http://www.redfin.com/MA/Newtonville/69-Lakeview-Ave-02460/home/11424013,MLS PIN,72196762,N,Y,42.3385001,-71.2095759
PAST SALE,,Townhouse,67 Prospect St,Newton,MA,02465,815000,3,2.5,,1968,29000,1984,,414,,,,,http://www.redfin.com/MA/Newton/67-Prospect-St-02465/home/11494540,,,N,Y,42.3449235,-71.233404
PAST SALE,June-30-2017,Single Family Residential,65 Grove St,Newton,MA,02466,950000,3,2.0,Auburndale,1953,18365,1930,480,486,,Sold,,,http://www.redfin.com/MA/Auburndale/65-Grove-St-02466/home/11440359,MLS PIN,72142348,N,Y,42.344328,-71.2478321
PAST SALE,September-13-2017,Townhouse,67 Prospect St #67,Newton,MA,02465,815000,3,2.5,Newton,2260,,1984,405,361,250,Sold,,,http://www.redfin.com/MA/Newton/67-Prospect-St-02465/unit-67/home/114024613,MLS PIN,72171081,N,Y,42.3449235,-71.233404
PAST SALE,December-13-2017,Single Family Residential,161 PARMENTER Rd,Newton,MA,02465,685000,3,2.0,West Newton,1650,8931,1925,314,415,,Sold,,,http://www.redfin.com/MA/West-Newton/161-Parmenter-Rd-02465/home/11441709,MLS PIN,72223447,N,Y,42.3607321,-71.2318521
PAST SALE,October-13-2017,Single Family Residential,15 Edgewood Rd,Newton,MA,02465,632000,3,2.0,West Newton,1088,8050,1930,375,581,,Sold,,,http://www.redfin.com/MA/West-Newton/15-Edgewood-Rd-02465/home/11442945,MLS PIN,72221108,N,Y,42.3528851,-71.2372817
PAST SALE,October-6-2017,Single Family Residential,50 Albert Rd,Newton,MA,02466,815000,4,2.5,Auburndale,2144,12600,1955,382,380,,Sold,,,http://www.redfin.com/MA/Auburndale/50-Albert-Rd-02466/home/11444361,MLS PIN,72169840,N,Y,42.3556275,-71.2398805
PAST SALE,September-20-2017,Single Family Residential,21 Mosman St,Newton,MA,02465,739000,3,2.0,West Newton,1576,7740,1954,398,469,,Sold,,,http://www.redfin.com/MA/Newton/21-Mosman-St-02465/home/11432717,MLS PIN,72206679,N,Y,42.3615481,-71.2180224
PAST SALE,,Single Family Residential,107 Fordham Rd,Newton,MA,02465,750000,4,2.0,,1571,7226,1937,,477,,,,,http://www.redfin.com/MA/Newton/107-Fordham-Rd-02465/home/11433908,,,N,Y,42.3591765,-71.2262251
